int_rate,dti,fico_range_low,revol_util,annual_inc_log,loan_amnt_log,installment,open_acc,pub_rec,delinq_2yrs,credit_history_years,income_to_loan_ratio,installment_to_income,total_interest_burden,sub_grade_freq,emp_stable,revol_bal_log,annual_inc
9.8,2.77,710.0,17.0,10.645448706505872,9.798182590890704,380.68,4.0,1.0,0.0,45.667351129363446,2.3333333333333335,0.10876571428571429,1764.0,0.06290721186250281,0.0,7.875119281040293,42000.0
6.99,12.18,695.0,72.0,11.918397239722838,9.680406499268875,493.97,11.0,0.0,1.0,31.583846680355922,9.375,0.0395176,1118.4,0.030891934396764773,1.0,9.530029703062944,150000.0
5.32,22.32,695.0,22.8,11.082157933374816,9.61587214452889,451.73,18.0,0.0,1.0,40.33401779603012,4.333333333333333,0.08339630769230769,798.0,0.04785441473826107,0.0,9.688498165477787,65000.0
8.38,6.69,695.0,53.0,10.778977123006351,9.210440366976517,315.12,10.0,0.0,0.0,5.752224503764545,4.8,0.07878,838.0000000000001,0.054145135924511346,0.0,8.993675786759683,48000.0
11.48,11.69,660.0,98.0,11.097425172408931,8.853808274977197,230.77,5.0,0.0,0.0,12.41889117043121,9.428571428571429,0.04195818181818182,803.6,0.060435857110761625,0.0,7.771488760117616,66000.0
10.64,21.03,680.0,75.3,10.736418414365376,9.036106025364846,273.58,6.0,0.0,0.0,16.334017796030118,5.476190476190476,0.07136869565217391,893.76,0.06638957537631993,1.0,9.57851889529833,46000.0
12.88,10.23,670.0,51.4,10.645448706505872,8.987321812850125,269.09,9.0,0.0,0.0,9.333333333333334,5.25,0.07688285714285714,1030.4,0.06122219725904291,1.0,8.333510708982942,42000.0
7.89,18.46,785.0,11.1,11.686887175419702,9.798182590890704,563.15,9.0,0.0,0.0,6.666666666666667,6.611111111111111,0.056788235294117646,1420.2,0.051561446865872836,0.0,8.773384596776648,119000.0
7.91,12.51,705.0,66.8,10.165890277802454,8.853808274977197,219.07,5.0,0.0,0.0,11.247091033538672,3.7142857142857144,0.10110923076923077,553.7,0.051561446865872836,0.0,8.92052268739398,26000.0
9.17,26.29,765.0,19.1,10.87806606028079,8.476579508530941,153.02,13.0,0.0,1.0,36.82956878850103,11.041666666666666,0.03464603773584906,440.16,0.0636935520107841,1.0,8.984818995876008,53000.0
17.27,10.93,670.0,79.0,11.635151947212842,9.392745258631441,299.98,9.0,0.0,0.0,16.082135523613964,9.416666666666666,0.03185628318584071,2072.4,0.02460121321051449,1.0,9.97469131154246,113000.0
16.55,23.48,660.0,98.0,10.87806606028079,9.781376414141157,627.1,8.0,0.0,0.0,13.91375770020534,2.994350282485876,0.14198490566037736,2929.35,0.02909458548640755,0.0,10.561007555452923,53000.0
20.5,25.43,670.0,62.3,11.264476926102367,10.396688774948379,876.82,18.0,0.0,1.0,13.333333333333334,2.381679389312977,0.1348953846153846,6713.75,0.00853740732419681,0.0,10.434468682505683,78000.0
11.99,18.23,675.0,73.3,11.856522261533737,9.942756341456828,462.58,16.0,0.0,0.0,14.82819986310746,6.778846153846154,0.03936851063829787,2493.92,0.06762525275219052,1.0,10.050009205198895,141000.0
15.77,26.62,665.0,39.6,9.913487387114461,8.546946149565585,180.48,6.0,1.0,0.0,24.249144421629023,3.9223300970873787,0.10721584158415841,812.155,0.03538530667265783,0.0,7.721791776817535,20200.0
9.8,8.41,680.0,34.4,11.51293546492023,9.210440366976517,321.74,11.0,0.0,1.0,25.998631074606433,10.0,0.0386088,980.0,0.06290721186250281,0.0,9.48402493478411,100000.0
12.88,16.36,660.0,76.8,10.308985993422082,7.0909098220799835,40.37,6.0,1.0,0.0,11.665982203969884,25.0,0.016148,154.56000000000003,0.06122219725904291,0.0,7.978653729082731,30000.0
12.88,31.57,685.0,69.4,11.982935344196433,9.680406499268875,363.07,19.0,0.0,0.0,18.49965776865161,10.0,0.027230249999999998,2060.8,0.06122219725904291,0.0,10.202814064582626,160000.0
8.38,20.5,670.0,42.7,11.461642696843066,9.798182590890704,567.22,25.0,0.0,0.0,24.58590006844627,5.277777777777778,0.07164884210526316,1508.4,0.054145135924511346,1.0,10.283737411503228,95000.0
6.49,22.83,740.0,26.4,10.819798284210286,8.987321812850125,245.16,17.0,0.0,0.0,44.91444216290212,6.25,0.05883839999999999,519.2,0.03257694900022467,0.0,9.832689481227412,50000.0
21.48,22.6,675.0,70.3,10.959557617938563,10.092081066090932,659.88,9.0,1.0,0.0,28.0,2.380952380952381,0.13771408695652174,5187.42,0.009660750393170074,1.0,8.556990661290303,57500.0
11.99,8.98,710.0,37.6,11.461642696843066,9.798182590890704,400.31,6.0,1.0,0.0,10.751540041067761,5.277777777777778,0.05056547368421052,2158.2,0.06762525275219052,1.0,8.696844519654313,95000.0
9.17,18.64,690.0,41.4,10.308985993422082,8.691314551644853,189.68,5.0,1.0,0.0,27.583846680355922,5.042016806722689,0.07587200000000001,545.615,0.0636935520107841,0.0,8.69265796074698,30000.0
7.91,24.41,715.0,64.8,10.819798284210286,9.680406499268875,500.72,9.0,0.0,0.0,11.331964407939767,3.125,0.1201728,1265.6,0.051561446865872836,0.0,9.444542550647126,50000.0
10.78,26.69,665.0,73.9,10.12667110305036,7.601402334583733,65.27,8.0,0.0,0.0,6.997946611909651,12.5,0.0313296,215.6,0.06638957537631993,1.0,9.408453253565146,25000.0
15.77,33.56,660.0,44.0,10.896757843893464,8.881975184248867,252.32,25.0,0.0,0.0,10.080766598220396,7.5,0.056071111111111106,1135.44,0.03538530667265783,0.0,10.231783597873164,54000.0
